#1
double n1(2048,3)   # comment line
0	114	40
0.0025	121	40
0.005	126	43
0.0075	122	41
0.01	134	46
0.0125	139	46
0.015	137	49
0.0175	128	46
0.02	142	51
0.0225	138	51
0.025	129	50
0.0275	142	53
0.03	132	52
0.0325	141	54
0.035	140	56
0.0375	130	51
0.04	143	55
0.0425	139	55
0.045	132	53
0.0475	142	55
0.05	140	55
0.0525	142	55
0.055	134	53
0.0575	141	55
0.06	142	59
0.0625	141	55
0.065	142	56
0.0675	142	56
0.07	137	56
0.0725	141	55
0.075	142	57
0.0775	142	57
0.08	142	56
0.0825	143	56
0.085	144	63
0.0875	140	56
0.09	142	57
0.0925	143	56
0.095	144	58
0.0975	143	56
0.1	144	58
0.1025	145	57
0.105	146	60
0.1075	146	59
0.11	146	63
0.1125	144	57
0.115	147	60
0.1175	147	58
0.12	148	60
0.1225	149	59
0.125	141	59
0.1275	148	59
0.13	149	59
0.1325	151	60
0.135	152	61
0.1375	142	57
0.14	151	60
0.1425	153	61
0.145	154	62
0.1475	151	62
0.15	155	63
0.1525	157	63
0.155	145	61
0.1575	157	63
0.16	158	64
0.1625	151	61
0.165	159	64
0.1675	162	64
0.17	158	65
0.1725	164	66
0.175	166	66
0.1775	159	64
0.18	166	67
0.1825	170	68
0.185	173	72
0.1875	172	70
0.19	174	72
0.1925	174	71
0.195	170	70
0.1975	166	67
0.2	177	73
0.2025	175	72
0.205	172	71
0.2075	171	67
0.21	169	67
0.2125	172	69
0.215	177	74
0.2175	170	70
0.22	174	74
0.2225	169	73
0.225	164	72
0.2275	167	74
0.23	160	72
0.2325	168	77
0.235	159	74
0.2375	167	76
0.24	161	74
0.2425	167	76
0.245	172	79
0.2475	173	78
0.25	171	78
0.2525	174	78
0.255	171	77
0.2575	182	81
0.26	180	82
0.2625	180	82
0.265	183	84
0.2675	187	85
0.27	177	78
0.2725	181	79
0.275	180	81
0.2775	179	83
0.28	169	81
0.2825	167	81
0.285	167	84
0.2875	168	86
0.29	168	86
0.2925	166	84
0.295	179	91
0.2975	173	88
0.3	179	91
0.3025	178	89
0.305	185	94
0.3075	184	91
0.31	175	86
0.3125	170	87
0.315	168	90
0.3175	164	89
0.32	162	92
0.3225	169	95
0.325	167	93
0.3275	174	97
0.33	170	94
0.3325	173	95
0.335	175	95
0.3375	172	95
0.34	169	96
0.3425	163	95
0.345	158	100
0.3475	159	99
0.35	166	102
0.3525	167	101
0.355	171	104
0.3575	171	103
0.36	161	98
0.3625	156	99
0.365	152	98
0.3675	151	103
0.37	153	102
0.3725	159	105
0.375	159	106
0.3775	161	105
0.38	155	104
0.3825	147	103
0.385	147	110
0.3875	150	111
0.39	152	110
0.3925	154	112
0.395	156	111
0.3975	151	111
0.4	141	108
0.4025	142	116
0.405	146	116
0.4075	149	118
0.41	147	113
0.4125	147	117
0.415	139	117
0.4175	138	122
0.42	141	121
0.4225	146	125
0.425	145	122
0.4275	135	123
0.43	131	124
0.4325	134	127
0.435	141	131
0.4375	139	126
0.44	126	126
0.4425	124	130
0.445	132	134
0.4475	134	135
0.45	128	130
0.4525	119	130
0.455	117	133
0.4575	128	139
0.46	125	134
0.4625	114	136
0.465	113	139
0.4675	119	140
0.47	119	139
0.4725	108	141
0.475	105	143
0.4775	116	148
0.48	114	145
0.4825	102	145
0.485	101	149
0.4875	113	156
0.49	108	152
0.4925	97	149
0.495	101	156
0.4975	109	164
0.5	96	159
0.5025	91	160
0.505	98	162
0.5075	96	164
0.51	82	162
0.5125	89	161
0.515	85	162
0.5175	74	164
0.52	83	163
0.5225	80	168
0.525	66	164
0.5275	79	169
0.53	74	171
0.5325	61	168
0.535	73	175
0.5375	61	175
0.54	58	172
0.5425	70	179
0.545	59	179
0.5475	62	181
0.55	62	184
0.5525	50	188
0.555	57	187
0.5575	47	191
0.56	46	187
0.5625	52	190
0.565	38	196
0.5675	48	189
0.57	35	194
0.5725	38	193
0.575	29	199
0.5775	34	197
0.58	30	202
0.5825	21	202
0.585	29	199
0.5875	19	213
0.59	24	194
0.5925	14	212
0.595	22	197
0.5975	11	211
0.6	16	204
0.6025	5	214
0.605	16	206
0.6075	4	218
0.61	10	200
0.6125	-1	220
0.615	5	204
0.6175	-8	224
0.62	-6	211
0.6225	-13	221
0.625	-20	221
0.6275	-15	227
0.63	-37	227
0.6325	-25	227
0.635	-39	235
0.6375	-38	223
0.64	-45	233
0.6425	-54	227
0.645	-46	224
0.6475	-57	240
0.65	-63	226
0.6525	-54	231
0.655	-70	234
0.6575	-68	229
0.66	-74	242
0.6625	-86	241
0.665	-78	230
0.6675	-85	245
0.67	-97	237
0.6725	-88	229
0.675	-89	241
0.6775	-98	237
0.68	-105	229
0.6825	-98	235
0.685	-108	235
0.6875	-119	237
0.69	-117	232
0.6925	-112	241
0.695	-125	240
0.6975	-130	228
0.7	-126	222
0.7025	-124	233
0.705	-141	242
0.7075	-148	243
0.71	-149	226
0.7125	-148	234
0.715	-137	223
0.7175	-150	233
0.72	-158	229
0.7225	-154	214
0.725	-165	214
0.7275	-161	219
0.73	-151	204
0.7325	-154	213
0.735	-156	208
0.7375	-171	214
0.74	-171	207
0.7425	-190	217
0.745	-195	215
0.7475	-196	214
0.75	-190	208
0.7525	-187	207
0.755	-182	198
0.7575	-190	210
0.76	-190	204
0.7625	-184	198
0.765	-189	195
0.7675	-198	197
0.77	-202	188
0.7725	-199	183
0.775	-201	171
0.7775	-202	161
0.78	-212	158
0.7825	-211	157
0.785	-216	150
0.7875	-216	144
0.79	-216	138
0.7925	-222	149
0.795	-224	145
0.7975	-219	139
0.8	-211	128
0.8025	-211	123
0.805	-215	108
0.8075	-223	106
0.81	-224	101
0.8125	-215	103
0.815	-211	99
0.8175	-204	88
0.82	-216	76
0.8225	-217	72
0.825	-213	74
0.8275	-193	67
0.83	-198	51
0.8325	-199	48
0.835	-205	53
0.8375	-194	44
