#1
double n1(20010,5)   # comment line
0	0	0	0	-0.28432					
0.001	0	0	0	-0.26429					
0.002	0	0	0	-0.27739					
0.003	0	0	0	-0.28586					
0.004	0	0	0	-0.2666					
0.005	0	0	0	-0.25735					
0.006	0	0	0	-0.27353					
0.007	0	0	0	-0.26968					
0.008	0	0	0	-0.26043					
0.009	0	0	0	-0.28124					
0.01	0	0	0	-0.28432					
0.011	0	0	0	-0.2535					
0.012	0	0	0	-0.26737					
0.013	0	0	0	-0.28124					
0.014	0	0	0	-0.27122					
0.015	0	0	0	-0.26737					
0.016	0	0	0	-0.28124					
0.017	0	0	0	-0.26814					
0.018	0	0	0	-0.25735					
0.019	0	0	0	-0.27585					
0.02	0	0	0	-0.28509					
0.021	0	0	0	-0.25427					
0.022	0	0	0	-0.27507					
0.023	0	0	0	-0.29048					
0.024	0	0	0	-0.26506					
0.025	0	0	0	-0.26198					
0.026	0	0	0	-0.27199					
0.027	0	0	0	-0.27739					
0.028	0	0	0	-0.26121					
0.029	0	0	0	-0.28355					
0.03	0	0	0	-0.28663					
0.031	0	0	0	-0.25196					
0.032	0	0	0	-0.26814					
0.033	0	0	0	-0.28047					
0.034	0	0	0	-0.26583					
0.035	0	0	0	-0.26737					
0.036	0	0	0	-0.27816					
0.037	0	0	0	-0.27045					
0.038	0	0	0	-0.25427					
0.039	0	0	0	-0.27276					
0.04	0	0	0	-0.28278					
0.041	0	0	0	-0.25812					
0.042	0	0	0	-0.27353					
0.043	0	0	0	-0.28355					
0.044	0	0	0	-0.26198					
0.045	0	0	0	-0.26583					
0.046	0	0	0	-0.27739					
0.047	0	0	0	-0.27585					
0.048	0	0	0	-0.25581					
0.049	0	0	0	-0.27739					
0.05	0	0	0	-0.29203					
0.051	0	0	0	-0.25119					
0.052	0	0	0	-0.26583					
0.053	0	0	0	-0.27662					
0.054	0	0	0	-0.2666					
0.055	0	0	0	-0.26583					
0.056	0	0	0	-0.28432					
0.057	0	0	0	-0.26968					
0.058	0	0	0	-0.25658					
0.059	0	0	0	-0.2743					
0.06	0	0	0	-0.28047					
0.061	0	0	0	-0.25812					
0.062	0	0	0	-0.27585					
0.063	0	0	0	-0.2874					
0.064	0	0	0	-0.26583					
0.065	0	0	0	-0.26583					
0.066	0	0	0	-0.27893					
0.067	0	0	0	-0.27585					
0.068	0	0	0	-0.25812					
0.069	0	0	0	-0.27353					
0.07	0	0	0	-0.28894					
0.071	0	0	0	-0.25119					
0.072	0	0	0	-0.26352					
0.073	0	0	0	-0.28586					
0.074	0	0	0	-0.26583					
0.075	0	0	0	-0.25966					
