#1
double n1(100000,4)   # comment line
0.03840 	0	0	0
0.03860 	0	0	0
0.03880 	0	0	-0.08
0.03900 	0	-0.08	0
0.03920 	0	0.08	0
0.03940 	0	0	-0.08
0.03960 	0	0	0
0.03980 	0	0	-0.08
0.04000 	0	0	0
0.04020 	0	0	0
0.04040 	-0.08	0	-0.08
0.04060 	0	0	-0.08
0.04080 	0.08	0	0
0.04100 	0	0	0
0.04120 	0	0	-0.08
0.04140 	0	0	-0.08
0.04160 	0	0	-0.08
0.04180 	0	0	0
0.04200 	0.08	0.08	0
0.04220 	0	0.08	0
0.04240 	0	0	0
0.04260 	0	0	0
0.04280 	0	0	0
0.04300 	0	0	-0.08
0.04320 	0	0	0
0.04340 	0	0	0
0.04360 	-0.08	0	-0.08
0.04380 	0	0	0
0.04400 	0	0	-0.08
0.04420 	0	-0.08	-0.08
0.04440 	0.08	0	-0.08
0.04460 	0	0	0
0.04480 	0	0	-0.08
0.04500 	0	0	-0.08
0.04520 	0	0	-0.08
0.04540 	0	0	-0.08
0.04560 	0	0	0
0.04580 	0	0	0
0.04600 	0	0	-0.08
0.04620 	0	-0.08	-0.08
0.04640 	0	0	-0.08
0.04660 	0	0	0
0.04680 	0	0	-0.08
0.04700 	0	0	0
0.04720 	0	0	0
0.04740 	-0.08	0	0
0.04760 	0	0	0
0.04780 	0	0	-0.16
0.04800 	0.08	0	0.08
0.04820 	0	0	-0.08
0.04840 	0	0	0
0.04860 	0.08	0	0
0.04880 	0	0	0
0.04900 	0	0	-0.08
0.04920 	-0.08	0	-0.08
0.04940 	0	0	-0.08
0.04960 	0.08	0.08	0
0.04980 	0	0	-0.08
0.05000 	0.08	0	0
0.05020 	0	0	-0.08
0.05040 	0	0.08	0
0.05060 	0	0.08	-0.08
0.05080 	0	0	0
0.05100 	0	0	-0.08
0.05120 	0	0	-0.08
0.05140 	-0.08	0	-0.08
0.05160 	0	0	0
0.05180 	0	0	0
0.05200 	0	0.08	0
0.05220 	0	0.08	0
0.05240 	-0.08	0	-0.08
0.05260 	0	0	-0.08
0.05280 	0.08	0	0
0.05300 	0	0.08	0
0.05320 	0.08	0	0
0.05340 	0.08	0	-0.08
0.05360 	0	0	-0.08
0.05380 	0	0	-0.08
0.05400 	0	0	-0.16
0.05420 	0	0	0
0.05440 	0.08	0.08	-0.08
0.05460 	0	0	-0.08
0.05480 	0	0	0
0.05500 	0	0.08	-0.08
0.05520 	0	0.08	0
0.05540 	0	0	0
0.05560 	0.08	0	0
0.05580 	0	0	-0.08
0.05600 	0	0	-0.08
0.05620 	0	0	-0.08
0.05640 	0	-0.08	-0.08
0.05660 	0	0	0
0.05680 	-0.08	0	-0.08
0.05700 	0	0	-0.08
0.05720 	0	0	-0.08
0.05740 	0	0	0
0.05760 	0.16	0	0
0.05780 	0	0	-0.08
0.05800 	0	0	-0.08
0.05820 	0.08	0.08	-0.08
0.05840 	0	0	0
0.05860 	0	0	0
0.05880 	0	0	-0.08
0.05900 	0	0	-0.08
0.05920 	0	0	-0.08
0.05940 	0	0	0
0.05960 	0	0	0
0.05980 	0	0	0
0.06000 	0	0	-0.08
0.06020 	0	0	0
0.06040 	0.08	0	-0.08
0.06060 	0	0	0
0.06080 	0.08	0.08	-0.08
0.06100 	0	-0.08	0
0.06120 	0	0	0
0.06140 	0	0	-0.08
0.06160 	0	0	-0.08
0.06180 	0	0	0
0.06200 	0	0	-0.08
0.06220 	0	0	0
0.06240 	0	0	0
0.06260 	0.08	0.08	-0.08
0.06280 	0	0	-0.08
0.06300 	0	0	-0.08
0.06320 	-0.08	0	0
0.06340 	-0.08	0.08	-0.08
0.06360 	0	-0.08	-0.08
0.06380 	0	0	-0.08
0.06400 	0	0	-0.08
